,year,month,day,hexagon,count,F19,F20
1,2019,2,24,62,2,1,0
2,2019,2,24,62,1,1,0
3,2019,2,24,62,1,1,0
4,2019,2,24,62,1,1,0
5,2019,2,24,62,1,1,0
6,2019,2,24,62,1,1,0
7,2019,2,24,62,1,1,0
8,2019,2,24,62,1,1,0
9,2019,2,24,62,1,1,0
10,2019,2,24,62,1,1,0
11,2019,2,24,62,1,1,0
12,2019,2,24,62,1,1,0
13,2019,2,24,62,1,1,0
14,2019,2,24,62,1,1,0
15,2019,2,24,62,1,1,0
16,2019,2,24,62,1,1,0
17,2019,2,24,62,1,1,0
18,2019,2,24,62,1,1,0
19,2019,2,24,62,13,1,0
20,2019,2,24,62,1,1,0
21,2019,2,24,62,1,1,0
22,2019,2,24,62,1,1,0
23,2019,2,24,62,1,1,0
24,2019,2,24,62,1,1,0
25,2019,2,24,62,1,1,0
26,2019,2,24,62,1,1,0
27,2019,2,24,62,1,1,0
28,2019,2,24,62,1,1,0
29,2019,2,24,62,1,1,0
30,2019,2,24,62,1,1,0
31,2019,2,24,62,1,1,0
32,2019,2,24,58,1,1,0
33,2019,2,24,58,1,1,0
34,2019,2,24,58,1,1,0
35,2019,2,24,58,1,1,0
36,2019,2,24,58,1,1,0
37,2019,2,24,58,1,1,0
38,2019,2,24,58,1,1,0
39,2019,2,24,58,1,1,0
40,2019,2,24,58,1,1,0
41,2019,2,24,58,1,1,0
42,2019,2,24,58,1,1,0
43,2019,2,24,58,1,1,0
44,2019,2,24,58,1,1,0
45,2019,2,24,58,1,1,0
46,2019,2,24,58,1,1,0
47,2019,2,24,58,1,1,0
48,2019,2,24,58,1,1,0
49,2019,2,24,58,1,1,0
50,2019,2,24,58,1,1,0
51,2019,2,24,58,1,1,0
52,2019,2,24,58,1,1,0
53,2019,2,24,58,1,1,0
54,2019,2,24,58,1,1,0
55,2019,2,24,30,1,1,0
56,2019,2,24,30,1,1,0
57,2019,2,24,30,1,1,0
58,2019,2,24,30,1,1,0
59,2019,2,24,30,1,1,0
60,2019,2,24,30,1,1,0
61,2019,2,24,107,1,1,0
62,2019,2,24,107,1,1,0
